Username,First name,Last name,Display name,Job title,Department,Office number,Office phone,Mobile phone,Fax,Alternate email address,Address,City,State or province,ZIP or postal code,Country or region
abhishek.maheshkar@archtechno.onmicrosoft.com,abhishek,maheshkar,abhishek maheshkar,IT Manager,Information Technology,123451,123-555-1222,123-555-6652,123-555-9832,chrisgreen@contoso.com,12 Microsoft way,Redmond,Wa,98063,United States
abhishek.yadav@archtechno.onmicrosoft.com,abhishek,yadav,abhishek yadav,IT Manager,Information Technology,123451,123-555-1223,123-555-6653,123-555-9833,chrisgreen@contoso.com,13 Microsoft way,Redmond,Wa,98064,United States
aditi.puttewar@archtechno.onmicrosoft.com,aditi,puttewar,aditi puttewar,IT Manager,Information Technology,123451,123-555-1232,123-555-6662,123-555-9842,chrisgreen@contoso.com,22 Microsoft way,Redmond,Wa,98073,United States
aditya.mohile@archtechno.onmicrosoft.com,aditya,mohile,aditya mohile,IT Manager,Information Technology,123451,123-555-1228,123-555-6658,123-555-9838,chrisgreen@contoso.com,18 Microsoft way,Redmond,Wa,98069,United States
amit.thakare@archtechno.onmicrosoft.com,amit,thakare,amit thakare,IT Manager,Information Technology,123451,123-555-1224,123-555-6654,123-555-9834,chrisgreen@contoso.com,14 Microsoft way,Redmond,Wa,98065,United States
amritsingh.sandhu@archtechno.onmicrosoft.com,amritsingh,sandhu,amritsingh sandhu,IT Manager,Information Technology,123451,123-555-1235,123-555-6665,123-555-9845,chrisgreen@contoso.com,25 Microsoft way,Redmond,Wa,98076,United States
ankush.lanjewar@archtechno.onmicrosoft.com,ankush,lanjewar,ankush lanjewar,IT Manager,Information Technology,123451,123-555-1227,123-555-6657,123-555-9837,chrisgreen@contoso.com,17 Microsoft way,Redmond,Wa,98068,United States
aryan.meshram@archtechno.onmicrosoft.com,aryan,meshram,aryan meshram,IT Manager,Information Technology,123451,123-555-1226,123-555-6656,123-555-9836,chrisgreen@contoso.com,16 Microsoft way,Redmond,Wa,98067,United States
bhavika.manekar@archtechno.onmicrosoft.com,bhavika,manekar,bhavika manekar,IT Manager,Information Technology,123451,123-555-1214,123-555-6644,123-555-9824,chrisgreen@contoso.com,4 Microsoft way,Redmond,Wa,98055,United States
bhawar.ninawe@archtechno.onmicrosoft.com,bhawar,ninawe,bhawar ninawe,IT Manager,Information Technology,123451,123-555-1234,123-555-6664,123-555-9844,chrisgreen@contoso.com,24 Microsoft way,Redmond,Wa,98075,United States
